 ;0.15548635957624116
а;0.06754592134612794
б;0.015114996731487996
в;0.04181200317370021
г;0.01677669825396588
д;0.024241879868461106
е;0.0747466279435321
ж;0.009186764272918257
з;0.015045135406218655
и;0.06068953128040839
й;0.012071038987609596
к;0.02761019376537573
л;0.04022016297649166
м;0.026093204988098626
н;0.062356222897548365
о;0.098404666736528
п;0.02176679291606162
р;0.037685194888147026
с;0.047665384212338506
т;0.04950173904798974
у;0.02219594105700185
ф;0.00141718688403519
х;0.008203715624485396
ц;0.003298452571645284
ч;0.011721732361262893
ш;0.006052984825122133
щ;0.0028742945253671464
ь;0.015514204304455655
ю;0.00593821264789393
я;0.01876275592947998
